Affymetrix ID,Gene,AUC,Welch's t-test p-value,FDR(%)
8066822,SULF2,0.805,0.00000093,0.11
8177137,UTY,0.799,0.00000044,0.11
8138116,ZNF12,0.792,0.000001,0.11
8152988,SLA,0.79,0.00000065,0.11
7975361,KIAA0247,0.789,0.0000009,0.11
8051814,ZFP36L2,0.781,0.00000113,0.11
8043310,RMND5A,0.78,0.00000624,0.22
7931353,PTPRE,0.78,0.00000055,0.11
8151149,ARFGEF1,0.779,0.00000116,0.11
8059596,TRIP12,0.779,0.00000176,0.13
7953291,CD9,0.779,0.00002865,0.37
8138670,HNRNPA2B1,0.778,0.00000409,0.18
7987048,MTMR10,0.778,0.00000185,0.13
8115562,RNF145,0.777,0.00000352,0.18
7995631,RBL2,0.776,0.00000169,0.13
8060418,SIRPA,0.776,0.00000908,0.25
8054135,MGAT4A,0.775,0.00000538,0.21
8065776,NCOA6,0.774,0.00000894,0.25
7922889,IVNS1ABP,0.774,0.00000403,0.18
8093976,TBC1D14,0.772,0.00000388,0.18
7957277,ZDHHC17,0.772,0.00000587,0.22
7969651,DNAJC3,0.771,0.00000952,0.25
8120992,ZNF292,0.769,0.00000454,0.19
8128394,PNISR,0.768,0.00000889,0.25
7974066,PNN,0.767,0.00001815,0.31
8073733,NUP50,0.763,0.00000827,0.25
8174119,ZMAT1,0.763,0.00002377,0.33
8022441,ROCK1,0.762,0.00001478,0.29
7950409,KCNE3,0.762,0.00002144,0.31
8013965,SSH2,0.761,0.00002132,0.31
8079140,SNRK,0.761,0.00001898,0.31
8126018,STK38,0.761,0.00000914,0.25
8068238,IFNAR2,0.761,0.00001059,0.25
7989224,ADAM10,0.759,0.00001028,0.25
8009205,DDX42,0.759,0.00001432,0.29
8048980,CAB39,0.759,0.00001656,0.31
8144317,KBTBD11,0.758,0.00001927,0.31
8066417,SERINC3,0.757,0.00000657,0.23
8119000,MAPK14,0.757,0.0002825,0.89
8098177,KLHL2,0.756,0.00013219,0.67
8050128,KIDINS220,0.756,0.00001988,0.31
8157534,CNTRL,0.755,0.00001872,0.31
8161701,TMEM2,0.754,0.00005385,0.48
8112687,COL4A3BP,0.754,0.00001227,0.27
7999044,CREBBP,0.752,0.00003472,0.4
8171762,RPS6KA3,0.752,0.00001432,0.29
8163775,MEGF9,0.751,0.00004637,0.46
8167971,MIR223,0.751,0.00005968,0.5
8023882,ZNF516,0.751,0.00004656,0.46
7986132,MAN2A2,0.751,0.00007207,0.53
7948667,AHNAK,0.751,0.00008217,0.54
8079462,NBEAL2,0.75,0.00001967,0.31
8099410,BOD1L,0.75,0.0002988,0.92
8031737,ZNF548,0.75,0.00004914,0.47
7988921,MYO5A,0.75,0.00001438,0.29
